doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00001, Dr. Erik Jenkins_ _,Cardiology,DEP07,H04,,2023-03-06,
D00002,Dr. Tahmaseb Rabee,ENT,DEP09,H01,(738)770-9437x74452,2023-02-01,
D00003,Dr.  Catherine  Noble,Pediatrics,DEP02,H03,258-530-7237x9308,2023-04-30,
D00004,dr. jennifer aryan,Orthopedics,DEP09,H02,(456)826-9601X02185,2023-03-10,
D00005,Dr. Willi@m Tahaw-wur, Cardiology ,DEP08,H03,831-663-5588x915,2023-05-04,2023-11-15
D00006,Dr. zabir Mccoy,ENT,DEP09,H04,374.540.3246x54629,2023-05-11,2024-03-08
D00007,Dr. Yawar Ihsaan,Neurology,DEP01,H02,6727277957,2023-05-15,2024-01-20
D00008,dr.  jaffer   zaahid,Neurology,DEP04,H05,(599)556-2181,2023-06-14,
D00009,Dr. R@@mis T@hir,ORTHOPEDICS,DEP06,H02,+1-792-371-0258x3552,2023-04-10,2023-11-30
D00010,DR. DAANISH WAFEEQ,Pediatrics,DEP07,H02, (528)826-8593x52488 ,2023-04-11,2023-11-05
D00011,dr.  sara   barr,Neurology,DEP09,H01,647.378.0884,2023-04-16,2024-04-13
D00012,DR. BASHARAT LONG.,ent,DEP01,H01,377-299-9647x4769,2023-04-03,
D00013,"Dr.  mahmoud   j0hns0n ,",Pediatrics-,DEP09,H05,613.537.0526x0197,2023-02-17,2024-02-09
D00014,Dr. Debra osborn,oncology,DEP01,H01,001-893-385-2554,2023-06-24,2024-04-03
D00015,dr. ricardo long,Neurology,DEP03,H03,760.983.3610,2023-01-09,2023-08-14
D00016,Dr. jamaal Ross,neurology,DEP01,H05,7473593054,2023-05-03,
D00017,Dr. ALEX W@f@,Neurology,DEP01,H04,(824)209-0363,2023-04-07,
D00018,Dr. Awan J@@bir,ENT,DEP06,H02,001-938-342-0355x66025,2023-04-14,2023-12-29
D00019,DR. KARAM EVANS,ENT,DEP08,H05,955-934-2978x335,2023-05-28,
D00020,Dr. Fidvi Murr@y,Cardiology,DEP09,H02,202.866.2283,2023-05-08,
D00021,Dr.  Ghulam  MAHFUZ,pediatrics,DEP07,H02,251-506-6911x4367,2023-02-18,
D00022,dr. zahaar harrington,ENT,DEP01,H03,(661)898-5466x80154,2023-03-26,2024-01-14
D00023,Dr. Natalie Tabassum,Orthopedics,DEP03,H05,549-912-9246x91549,2023-04-19,
D00024,Dr. D@@ny@@l Knight,Oncology,DEP05,H05,+1-792-782-2282x830,2023-04-30,
D00025,Dr. Ghiyaath Ghutayf,neurology,DEP06,H02,8254122542,2023-05-06,
D00026,Dr. tabish Gonzales,ENT,DEP04,H03,982.367.4543x857,2023-06-05,
D00027,Dr. Zahri  gutierrez,oncology,DEP03,H03,(652)430-8678x95365,2023-01-03,
D00028,Dr. Robert Turner-,oncology,DEP04,H04,3855211513,2023-06-10,
D00029,Dr. L@iq_ K@chel@, Oncology ,DEP10,H01,+1-266-531-4444,2023-06-17,2024-03-25
D00030, Dr. luqmaan chapman ,Orthopedics,DEP05,H01,7397850458,2023-03-31,
D00031,Dr. stephanie  KABEER,Oncology,DEP10,H03,+1-424-923-2838x794,2023-01-04,2023-07-16
D00032,dr. christopher bullock,Orthopedics,DEP02,H04,+1-300-706-9823X632,2023-05-03,2024-04-04
D00033, Dr. matthew Taanish. , Neurology ,DEP04,H02, (686)904-2342 ,2023-02-08,
D00034,DR. TAARIQ- WAAHID,cardiology,DEP09,H03,6027374395,2023-03-16,
D00035,Dr. Misty Valdez,Oncology,DEP10,H03,869-713-2317x98874,2023-01-12,2024-01-04
D00036,Dr. Huzaifa Gulshan,Oncology,DEP08,H02,001-795-501-1622x19802,2023-03-04,2023-12-23
D00037, dr. marcia aazim ,Pediatrics,DEP04,H05, 001-844-264-4207 ,2023-06-18,2023-12-21
D00038,Dr. Saabir Sair,ENT,DEP10,H03,001-641-379-5761x35081,2023-01-09,2023-09-23
D00039,Dr. Arthur Ubadah,Neurology,DEP04,H03,001-555-264-3236x77083,2023-05-25,2024-05-08
D00040,Dr. Dylan Saal,orthopedics,DEP06,H03,536.645.7282,2023-04-08,2024-01-03
D00041,DR. DAVID TAHMASEB,Pediatrics,DEP09,H05,(823)294-1976x2024,2023-04-20,2024-01-22
D00042, Dr. Tahawwur  LUQMAN ,Orthopedics,DEP09,H04,928.370.1449x8245,2023-01-17,2023-10-11
D00043,Dr. Dameer- Stevens, Orthopedics .,DEP04,H02,3362932759,2023-06-16,
D00044,Dr. Savannah Hughes, pediatrics ,DEP01,H05,(907)979-0544,2023-02-01,
